president,startDate,endDate,startYear,endYear
Abraham Lincoln,1861-03-04,1865-04-15,1861,1865
Andrew Johnson,1865-04-15,1869-03-04,1865,1869
Ulysses S. Grant,1869-03-04,1877-03-04,1869,1877
Rutherford B. Hayes,1877-03-04,1881-03-04,1877,1881
James A. Garfield,1881-03-04,1881-09-19,1881,1881
Chester A. Arthur,1881-09-19,1885-03-04,1881,1885
Grover Cleveland,1885-03-04,1889-03-04,1885,1889
Benjamin Harrison,1889-03-04,1893-03-04,1889,1893
Grover Cleveland,1893-03-04,1897-03-04,1893,1897
William McKinley,1897-03-04,1901-09-14,1897,1901
Theodore Roosevelt,1901-09-14,1909-03-04,1901,1909
William H. Taft,1909-03-04,1913-03-04,1909,1913
Woodrow Wilson,1913-03-04,1921-03-04,1913,1921
Warren G. Harding,1921-03-04,1923-08-02,1921,1923
Calvin Coolidge,1923-08-02,1929-03-04,1923,1929
Herbert C. Hoover,1929-03-04,1933-03-04,1929,1933
Franklin D. Roosevelt,1933-03-04,1945-04-12,1933,1945
Harry S. Truman,1945-04-12,1953-01-20,1945,1953
Dwight D. Eisenhower,1953-01-20,1961-01-20,1953,1961
John F. Kennedy,1961-01-20,1963-11-22,1961,1963
Lyndon B. Johnson,1963-11-22,1969-01-20,1963,1969
Richard M. Nixon,1969-01-20,1974-08-09,1969,1974
Gerald R. Ford,1974-08-09,1977-01-20,1974,1977
Jimmy Carter,1977-01-20,1981-01-20,1977,1981
Ronald Reagan,1981-01-20,1989-01-20,1981,1989
George H. W. Bush,1989-01-20,1993-01-20,1989,1993
William J. Clinton,1993-01-20,2001-01-20,1993,2001
